date,sales
2020-01-01,114.0
2020-01-02,100.0
2020-01-03,121.0
2020-01-04,201.0
2020-01-05,154.0
2020-01-06,103.0
2020-01-07,150.0
2020-01-08,132.0
2020-01-09,102.0
2020-01-10,129.0
2020-01-11,157.0
2020-01-12,157.0
2020-01-13,126.0
2020-01-14,74.0
2020-01-15,80.0
2020-01-16,111.0
2020-01-17,101.0
2020-01-18,188.0
2020-01-19,147.0
2020-01-20,96.0
2020-01-21,169.0
2020-01-22,129.0
2020-01-23,137.0
2020-01-24,102.0
2020-01-25,193.0
2020-01-26,181.0
2020-01-27,113.0
2020-01-28,152.0
2020-01-29,129.0
2020-01-30,139.0
2020-01-31,132.0
2020-02-01,248.0
2020-02-02,202.0
2020-02-03,125.0
2020-02-04,173.0
2020-02-05,124.0
2020-02-06,161.0
2020-02-07,108.0
2020-02-08,158.0
2020-02-09,225.0
2020-02-10,179.0
2020-02-11,166.0
2020-02-12,160.0
2020-02-13,157.0
2020-02-14,129.0
2020-02-15,196.0
2020-02-16,214.0
2020-02-17,196.0
2020-02-18,179.0
2020-02-19,127.0
2020-02-20,181.0
2020-02-21,164.0
2020-02-22,200.0
2020-02-23,251.0
2020-02-24,202.0
2020-02-25,201.0
2020-02-26,158.0
2020-02-27,172.0
2020-02-28,189.0
2020-02-29,248.0
2020-03-01,225.0
2020-03-02,179.0
2020-03-03,157.0
2020-03-04,155.0
2020-03-05,206.0
2020-03-06,221.0
2020-03-07,235.0
2020-03-08,263.0
2020-03-09,198.0
2020-03-10,174.0
2020-03-11,200.0
2020-03-12,230.0
2020-03-13,191.0
2020-03-14,289.0
2020-03-15,174.0
2020-03-16,214.0
2020-03-17,196.0
2020-03-18,187.0
2020-03-19,198.0
2020-03-20,146.0
2020-03-21,230.0
2020-03-22,244.0
2020-03-23,234.0
2020-03-24,185.0
2020-03-25,178.0
2020-03-26,186.0
2020-03-27,222.0
2020-03-28,239.0
2020-03-29,231.0
2020-03-30,212.0
2020-03-31,202.0
2020-04-01,224.0
2020-04-02,183.0
2020-04-03,192.0
2020-04-04,248.0
2020-04-05,203.0
2020-04-06,208.0
2020-04-07,207.0
2020-04-08,201.0
2020-04-09,195.0
2020-04-10,165.0
2020-04-11,251.0
2020-04-12,262.0
2020-04-13,181.0
2020-04-14,197.0
2020-04-15,211.0
2020-04-16,247.0
2020-04-17,205.0
2020-04-18,241.0
2020-04-19,250.0
2020-04-20,152.0
